NCDCID,WBAN,NAME,COUNTRY,ST,COUNTY,LAT,LON,ELEV,UTC,STNTYPE,GHCND
30014605,64757,EGBERT1W,CANADA,ON,,44.2326,-79.7810,807,-5,USCRN,CAW00064757
30121205,23583,ALEKNAGIK1NNE,UNITEDSTATES,AK,DILLINGHAM,59.2840,-158.6145,80,-9,USCRN,
30113392,26656,BETHEL87WNW,UNITEDSTATES,AK,,61.3465,-164.0769,153,-9,USCRN,USW00026656
30110253,96405,CORDOVA14ESE,UNITEDSTATES,AK,VALDEZ-CORDOVA,60.4731,-145.3542,83,-9,USCRN,USW00096405
30094617,26565,DEADHORSE3S,UNITEDSTATES,AK,NORTHSLOPEBOROUGH,70.1618,-148.4644,30,-9,USCRN,USW00026565
30100989,96408,DENALI27N,UNITEDSTATES,AK,DENALIBOROUGH,63.4520,-150.8747,2225,-9,USCRN,USW00096408
30014595,26494,FAIRBANKS11NE,UNITEDSTATES,AK,FAIRBANKSNORTHSTARBOROUGH,64.9735,-147.5100,1140,-9,USCRN,USW00026494
30079549,56401,GLENNALLEN64N,UNITEDSTATES,AK,VALDEZ-CORDOVA,63.0295,-145.5003,2669,-9,USCRN,USW00056401
30076586,25380,GUSTAVUS2NE,UNITEDSTATES,AK,SKAGWAY-HOONAH-ANGOON,58.4292,-135.6900,20,-9,USCRN,USW00025380
30094615,26564,IVOTUK1NNE,UNITEDSTATES,AK,NORTHSLOPEBOROUGH,68.4851,-155.7506,1909,-9,USCRN,USW00026564
30015617,26563,KENAI29ENE,UNITEDSTATES,AK,KENAIPENINSULABOROUGH,60.7237,-150.4484,282,-9,USCRN,USW00026563
30076585,25522,KINGSALMON42SE,UNITEDSTATES,AK,BRISTOLBAYBOROUGH,58.2077,-155.9225,661,-9,USCRN,USW00025522
30076587,25381,METLAKATLA6S,UNITEDSTATES,AK,PRINCEOFWALES-OUTERKETCHIKA,55.0455,-131.5877,105,-9,USCRN,USW00025381
30015466,26562,PORTALSWORTH1SW,UNITEDSTATES,AK,LAKEANDPENINSULABOROUGH,60.1951,-154.3196,321,-9,USCRN,USW00026562
30015616,26655,REDDOGMINE3SSW,UNITEDSTATES,AK,NORTHWESTARCTICBOROUGH,68.0277,-162.9212,942,-9,USCRN,USW00026655
30094616,96406,RUBY44ESE,UNITEDSTATES,AK,YUKON-KOYUKUK,64.5015,-154.1297,259,-9,USCRN,USW00096406
30015465,25630,SANDPOINT1ENE,UNITEDSTATES,AK,ALEUTIANSEASTBOROUGH,55.3473,-160.4660,240,-9,USCRN,USW00025630
30100987,96407,SELAWIK28E,UNITEDSTATES,AK,NORTHWESTARCTICBOROUGH,66.5620,-159.0036,22,-9,USCRN,USW00096407
30014644,25379,SITKA1NE,UNITEDSTATES,AK,SITKABOROUGH,57.0574,-135.3266,78,-9,USCRN,USW00025379
30014682,25711,ST.PAUL4NE,UNITEDSTATES,AK,ALEUTIANSWEST,57.1575,-170.2119,20,-9,USCRN,USW00025711
30015723,96404,TOK70SE,UNITEDSTATES,AK,SOUTHEASTFAIRBANKS,62.7370,-141.2083,2000,-9,USCRN,USW00096404
30110254,96409,TOOLIKLAKE5ENE,UNITEDSTATES,AK,NORTHSLOPEBOROUGH,68.6483,-149.3986,2461,-9,USCRN,USW00096409
30014577,27516,UTQIAÄ VIKFORMERLYBARROW4E,UNITEDSTATES,AK,NORTHSLOPEBOROUGH,71.3213,-156.6110,15,-9,USCRN,USW00027516
30106788,25382,YAKUTAT3SSE,UNITEDSTATES,AK,YAKUTATBOROUGH,59.5087,-139.6850,26,-9,USCRN,USW00025382
30014678,63869,FAIRHOPE3NE,UNITEDSTATES,AL,BALDWIN,30.5485,-87.8757,95,-6,USCRN,USW00063869
30014716,63857,GADSDEN19N,UNITEDSTATES,AL,DEKALB,34.2851,-85.9621,1152,-6,USCRN,USW00063857
30014608,63858,SELMA13WNW,UNITEDSTATES,AL,DALLAS,32.4567,-87.2422,193,-6,USCRN,USW00063858
30014561,23904,BATESVILLE8WNW,UNITEDSTATES,AR,INDEPENDENCE,35.8201,-91.7812,455,-6,USCRN,USW00023904
30014517,53132,ELGIN5S,UNITEDSTATES,AZ,SANTACRUZ,31.5907,-110.5087,4811,-7,USCRN,USW00053132
30014656,53131,TUCSON11W,UNITEDSTATES,AZ,PIMA,32.2395,-111.1696,2733,-7,USCRN,USW00053131
30014628,53155,WILLIAMS35NNW,UNITEDSTATES,AZ,COCONINO,35.7552,-112.3374,5990,-7,USCRN,USW00053155
30014543,53154,YUMA27ENE,UNITEDSTATES,AZ,YUMA,32.8350,-114.1884,620,-7,USCRN,USW00053154
30014624,93245,BODEGA6WSW,UNITEDSTATES,CA,SONOMA,38.3208,-123.0747,63,-8,USCRN,USW00093245
30014541,53151,FALLBROOK5NE,UNITEDSTATES,CA,SANDIEGO,33.4392,-117.1904,1140,-8,USCRN,USW00053151
30014668,93243,MERCED23WSW,UNITEDSTATES,CA,MERCED,37.2381,-120.8825,78,-8,USCRN,USW00093243
30014694,04222,REDDING12WNW,UNITEDSTATES,CA,SHASTA,40.6507,-122.6068,1418,-8,USCRN,USW00004222
30014622,53152,SANTABARBARA11W,UNITEDSTATES,CA,SANTABARBARA,34.4141,-119.8796,18,-8,USCRN,USW00053152
30014529,53139,STOVEPIPEWELLS1SW,UNITEDSTATES,CA,INYO,36.6020,-117.1449,84,-8,USCRN,USW00053139
30014690,53150,YOSEMITEVILLAGE12W,UNITEDSTATES,CA,MARIPOSA,37.7592,-119.8208,6620,-8,USCRN,USW00053150
30014599,94075,BOULDER14W,UNITEDSTATES,CO,BOULDER,40.0354,-105.5409,9828,-7,USCRN,USW00094075
30014726,03061,CORTEZ8SE,UNITEDSTATES,CO,MONTEZUMA,37.2553,-108.5035,8034,-7,USCRN,USW00003061
30014670,94082,DINOSAUR2E,UNITEDSTATES,CO,MOFFAT,40.2446,-108.9677,6062,-7,USCRN,USW00094082
30014555,03063,LAJUNTA17WSW,UNITEDSTATES,CO,OTERO,37.8639,-103.8224,4386,-7,USCRN,USW00003063
30014714,03060,MONTROSE11ENE,UNITEDSTATES,CO,MONTROSE,38.5440,-107.6928,8402,-7,USCRN,USW00003060
30014658,94074,NUNN7NNE,UNITEDSTATES,CO,WELD,40.8066,-104.7552,5390,-7,USCRN,USW00094074
30014718,92826,EVERGLADESCITY5NE,UNITEDSTATES,FL,COLLIER,25.8996,-81.3183,4,-5,USCRN,USW00092826
30014573,92827,SEBRING23SSE,UNITEDSTATES,FL,HIGHLANDS,27.1526,-81.3689,150,-5,USCRN,USW00092827
30014680,92821,TITUSVILLE7E,UNITEDSTATES,FL,BREVARD,28.6159,-80.6929,3,-5,USCRN,USW00092821
30014533,63856,BRUNSWICK23S,UNITEDSTATES,GA,CAMDEN,30.8078,-81.4596,25,-5,USCRN,USW00063856
30014706,63829,NEWTON11SW,UNITEDSTATES,GA,BAKER,31.1923,-84.4465,156,-5,USCRN,USW00063829
30014662,63828,NEWTON8W,UNITEDSTATES,GA,BAKER,31.3127,-84.4706,176,-5,USCRN,USW00063828
30014557,63850,WATKINSVILLE5SSE,UNITEDSTATES,GA,OCONEE,33.7837,-83.3896,741,-5,USCRN,USW00063850
30014610,21515,HILO5S,UNITEDSTATES,HI,HAWAII,19.6450,-155.0827,622,-10,USCRN,USW00021515
30014724,21514,MAUNALOA5NNE,UNITEDSTATES,HI,HAWAII,19.5354,-155.5760,11179,-10,USCRN,USW00021514
30014640,54902,DESMOINES17E,UNITEDSTATES,IA,JASPER,41.5562,-93.2855,921,-6,USCRN,USW00054902
30014660,04126,ARCO17SW,UNITEDSTATES,ID,BUTTE,43.4621,-113.5560,5920,-7,USCRN,USW00004126
